   execution: local
        script: load-test/parsec_event_one_user.js
        output: -

     scenarios: (100.00%) 1 scenario, 1 max VUs, 10m30s max duration (incl. graceful stop):
              * single_user: 1 looping VUs for 10m0s (gracefulStop: 30s)

INFO[0000] 🚀 Запуск теста: 1 пользователь, длительность 10 минут  source=console
INFO[0341] [93] skip=23250 | статус=200 | время=4994ms | тело=1779674 байт  source=console
INFO[0345] [94] skip=23500 | статус=200 | время=4982ms | тело=2359710 байт  source=console
INFO[0349] [95] skip=23750 | статус=200 | время=4911ms | тело=2438321 байт  source=console
INFO[0352] [96] skip=24000 | статус=200 | время=4832ms | тело=2421069 байт  source=console
INFO[0357] [97] skip=24250 | статус=200 | время=4804ms | тело=2039353 байт  source=console
INFO[0360] [98] skip=24500 | статус=200 | время=4887ms | тело=1942973 байт  source=console
INFO[0363] [99] skip=24750 | статус=200 | время=4943ms | тело=2079692 байт  source=console
INFO[0366] [100] skip=25000 | статус=200 | время=5354ms | тело=2248294 байт  source=console
INFO[0370] [101] skip=25250 | статус=200 | время=5532ms | тело=2051182 байт  source=console
INFO[0374] [102] skip=25500 | статус=200 | время=5323ms | тело=1785027 байт  source=console
INFO[0377] [103] skip=25750 | статус=200 | время=6553ms | тело=2120554 байт  source=console
INFO[0381] [104] skip=26000 | статус=200 | время=6455ms | тело=2080739 байт  source=console
INFO[0385] [105] skip=26250 | статус=200 | время=6546ms | тело=2278291 байт  source=console
INFO[0388] [106] skip=26500 | статус=200 | время=7365ms | тело=2141630 байт  source=console
INFO[0392] [107] skip=26750 | статус=200 | время=7434ms | тело=1748636 байт  source=console
INFO[0395] [108] skip=27000 | статус=200 | время=7356ms | тело=1977709 байт  source=console
INFO[0398] [109] skip=27250 | статус=200 | время=7423ms | тело=2348813 байт  source=console
INFO[0401] [110] skip=27500 | статус=200 | время=7485ms | тело=2244288 байт  source=console
INFO[0405] [111] skip=27750 | статус=200 | время=8487ms | тело=2402721 байт  source=console
INFO[0408] [112] skip=28000 | статус=200 | время=8454ms | тело=2130574 байт  source=console
INFO[0411] [113] skip=28250 | статус=200 | время=9332ms | тело=2095909 байт  source=console
INFO[0414] [114] skip=28500 | статус=200 | время=9356ms | тело=2069669 байт  source=console
INFO[0419] [115] skip=28750 | статус=200 | время=9612ms | тело=3048151 байт  source=console
INFO[0422] [116] skip=29000 | статус=200 | время=10364ms | тело=2185621 байт  source=console
INFO[0426] [117] skip=29250 | статус=200 | время=10442ms | тело=2207099 байт  source=console
INFO[0431] [118] skip=29500 | статус=200 | время=10067ms | тело=3797991 байт  source=console
INFO[0436] [119] skip=29750 | статус=200 | время=11935ms | тело=4602148 байт  source=console
INFO[0441] [120] skip=30000 | статус=200 | время=11963ms | тело=2701420 байт  source=console
INFO[0446] [121] skip=30250 | статус=200 | время=12546ms | тело=3123151 байт  source=console
INFO[0450] [122] skip=30500 | статус=200 | время=12554ms | тело=3481146 байт  source=console
INFO[0456] [123] skip=30750 | статус=200 | время=12967ms | тело=4272733 байт  source=console
INFO[0462] [124] skip=31000 | статус=200 | время=14957ms | тело=4625458 байт  source=console
INFO[0467] [125] skip=31250 | статус=200 | время=14724ms | тело=3588791 байт  source=console
INFO[0470] [126] skip=31500 | статус=200 | время=13467ms | тело=1933438 байт  source=console
INFO[0473] [127] skip=31750 | статус=200 | время=15712ms | тело=2516046 байт  source=console
INFO[0477] [128] skip=32000 | статус=200 | время=15334ms | тело=2386776 байт  source=console
INFO[0481] [129] skip=32250 | статус=200 | время=15076ms | тело=3610597 байт  source=console
INFO[0484] [130] skip=32500 | статус=200 | время=17245ms | тело=2799103 байт  source=console
INFO[0491] [131] skip=32750 | статус=200 | время=17413ms | тело=3950290 байт  source=console
INFO[0497] [132] skip=33000 | статус=200 | время=18675ms | тело=5299952 байт  source=console
INFO[0503] [133] skip=33250 | статус=200 | время=19245ms | тело=3962348 байт  source=console
INFO[0508] [134] skip=33500 | статус=200 | время=21743ms | тело=3012666 байт  source=console
INFO[0512] [135] skip=33750 | статус=200 | время=22967ms | тело=3320997 байт  source=console
INFO[0519] [136] skip=34000 | статус=200 | время=24445ms | тело=4887795 байт  source=console
INFO[0531] [137] skip=34250 | статус=200 | время=25275ms | тело=5301746 байт  source=console
INFO[0542] [138] skip=34500 | статус=200 | время=26835ms | тело=4594481 байт  source=console
INFO[0547] [139] skip=34750 | статус=200 | время=27969ms | тело=2992320 байт  source=console
INFO[0554] [140] skip=35000 | статус=200 | время=29041ms | тело=3269847 байт  source=console
INFO[0568] [141] skip=35250 | статус=200 | время=31268ms | тело=5403511 байт  source=console
INFO[0578] [142] skip=35500 | статус=200 | время=34033ms | тело=3976545 байт  source=console
INFO[0584] [143] skip=35750 | статус=200 | время=35965ms | тело=2444996 байт  source=console
INFO[0588] [144] skip=36000 | статус=200 | время=36337ms | тело=2574853 байт  source=console
INFO[0612] [145] skip=36250 | статус=200 | время=38718ms | тело=7567385 байт  source=console


  █ THRESHOLDS 

    error_rate
    ✗ 'rate<0.05' rate=100.00%

    http_req_duration
    ✗ 'p(95)<8000' p(95)=26.44s
    ✗ 'p(99)<15000' p(99)=36.17s

    http_req_failed
    ✓ 'rate<0.01' rate=0.00%

    response_time
    ✗ 'p(95)<8000' p(95)=26.44s


  █ TOTAL RESULTS 

    checks_total.......: 439    0.714676/s
    checks_succeeded...: 89.06% 391 out of 439
    checks_failed......: 10.94% 48 out of 439

    ✓ login status 200
    ✓ ✓ статус 200
    ✗ ✓ время < 5с
      ↳  67.12% — ✓ 98 / ✗ 48
    ✓ ✓ тело не пустое

    CUSTOM
    error_rate.....................: 32.88% 48 out of 146
    requests_total.................: 146     0.237683/s
    response_time..................: avg=7861.98 min=3326  med=4617.50  max=38718  p(90)=17329.00 p(95)=26445.00

    HTTP
    http_req_duration..............: avg=7.86s       min=3.3s  med=4.62s max=38.72s p(90)=17.33s  p(95)=26.45s 
      { expected_response:true }...: avg=7.86s       min=3.3s  med=4.62s max=38.72s p(90)=17.33s  p(95)=26.45s 
    http_req_failed................: 0.00%   0 out of 147
    http_reqs......................: 147     0.239311/s

    EXECUTION
    iteration_duration.............: avg=7.86s       min=3.3s med=4.62s max=38.72s p(90)=17.33s  p(95)=26.45s 
    iterations.....................: 146     0.237683/s
    vus............................: 1       min=0          max=1
    vus_max........................: 1       min=1          max=1

    NETWORK
    data_received..................: 351 MB  571 kB/s
    data_sent......................: 77 kB   126 B/s




running (10m14.3s), 0/1 VUs, 146 complete and 0 interrupted iterations
single_user ✓ [======================================] 1 VUs  10m0s
