   execution: local
        script: load-test/parsec_event_one_user.js
        output: -

     scenarios: (100.00%) 1 scenario, 1 max VUs, 10m30s max duration (incl. graceful stop):
              * single_user: 1 looping VUs for 10m0s (gracefulStop: 30s)

INFO[0000] 🚀 Запуск теста: 1 пользователь, длительность 10 минут  source=console
INFO[0225] [59] skip=14750 | статус=200 | время=2413ms | тело=1515377 байт  source=console
INFO[0229] [60] skip=15000 | статус=200 | время=2443ms | тело=1490337 байт  source=console
INFO[0232] [61] skip=15250 | статус=200 | время=2378ms | тело=1519887 байт  source=console
INFO[0235] [62] skip=15500 | статус=200 | время=2324ms | тело=1484713 байт  source=console
INFO[0238] [63] skip=15750 | статус=200 | время=2394ms | тело=1572072 байт  source=console
INFO[0241] [64] skip=16000 | статус=200 | время=2486ms | тело=1836760 байт  source=console
INFO[0243] [65] skip=16250 | статус=200 | время=2565ms | тело=2274733 байт  source=console
INFO[0247] [66] skip=16500 | статус=200 | время=2375ms | тело=1914757 байт  source=console
INFO[0250] [67] skip=16750 | статус=200 | время=2437ms | тело=1804245 байт  source=console
INFO[0254] [68] skip=17000 | статус=200 | время=2454ms | тело=1942871 байт  source=console
INFO[0258] [69] skip=17250 | статус=200 | время=2425ms | тело=1892034 байт  source=console
INFO[0263] [70] skip=17500 | статус=200 | время=2538ms | тело=1872013 байт  source=console
INFO[0265] [71] skip=17750 | статус=200 | время=2465ms | тело=1862836 байт  source=console
INFO[0268] [72] skip=18000 | статус=200 | время=2367ms | тело=1959524 байт  source=console
INFO[0272] [73] skip=18250 | статус=200 | время=2489ms | тело=2330815 байт  source=console
INFO[0276] [74] skip=18500 | статус=200 | время=2346ms | тело=2073071 байт  source=console
INFO[0280] [75] skip=18750 | статус=200 | время=2571ms | тело=2094397 байт  source=console
INFO[0284] [76] skip=19000 | статус=200 | время=2383ms | тело=1914601 байт  source=console
INFO[0287] [77] skip=19250 | статус=200 | время=2388ms | тело=1688706 байт  source=console
INFO[0291] [78] skip=19500 | статус=200 | время=2361ms | тело=1622010 байт  source=console
INFO[0294] [79] skip=19750 | статус=200 | время=2452ms | тело=2190205 байт  source=console
INFO[0297] [80] skip=20000 | статус=200 | время=2324ms | тело=2293953 байт  source=console
INFO[0300] [81] skip=20250 | статус=200 | время=2504ms | тело=2231691 байт  source=console
INFO[0303] [82] skip=20500 | статус=200 | время=2328ms | тело=2393585 байт  source=console
INFO[0307] [83] skip=20750 | статус=200 | время=2482ms | тело=2495423 байт  source=console
INFO[0309] [84] skip=21000 | статус=200 | время=2459ms | тело=1993376 байт  source=console
INFO[0314] [85] skip=21250 | статус=200 | время=2359ms | тело=2144132 байт  source=console
INFO[0318] [86] skip=21500 | статус=200 | время=2660ms | тело=2334833 байт  source=console
INFO[0321] [87] skip=21750 | статус=200 | время=2405ms | тело=2337166 байт  source=console
INFO[0325] [88] skip=22000 | статус=200 | время=2515ms | тело=2203181 байт  source=console
INFO[0328] [89] skip=22250 | статус=200 | время=2415ms | тело=2124372 байт  source=console
INFO[0331] [90] skip=22500 | статус=200 | время=2409ms | тело=2190258 байт  source=console
INFO[0335] [91] skip=22750 | статус=200 | время=2427ms | тело=1932415 байт  source=console
INFO[0338] [92] skip=23000 | статус=200 | время=2436ms | тело=1820559 байт  source=console
INFO[0341] [93] skip=23250 | статус=200 | время=2394ms | тело=1779674 байт  source=console
INFO[0345] [94] skip=23500 | статус=200 | время=2382ms | тело=2359710 байт  source=console
INFO[0349] [95] skip=23750 | статус=200 | время=2411ms | тело=2438321 байт  source=console
INFO[0352] [96] skip=24000 | статус=200 | время=2532ms | тело=2421069 байт  source=console
INFO[0357] [97] skip=24250 | статус=200 | время=2504ms | тело=2039353 байт  source=console
INFO[0360] [98] skip=24500 | статус=200 | время=2387ms | тело=1942973 байт  source=console
