 execution: local
        script: load-test/parsec_event_five_user.js
        output: -

     scenarios: (100.00%) 1 scenario, 5 max VUs, 10m30s max duration (incl. graceful stop):
              * multiple_users: 5 looping VUs for 10m0s (gracefulStop: 30s)

INFO[0000] 🚀 Запуск теста: 5 пользователей, длительность 10 минут  source=console
INFO[0102] [VU2][ITER16] skip=4100 | статус=200 | время=4027ms | тело=1596819 байт  source=console
INFO[0104] [VU4][ITER18] skip=4800 | статус=200 | время=6838ms | тело=1936708 байт  source=console
INFO[0104] [VU5][ITER17] skip=4650 | статус=200 | время=7003ms | тело=1781606 байт  source=console
INFO[0105] [VU3][ITER18] skip=4700 | статус=200 | время=5216ms | тело=1834417 байт  source=console
INFO[0106] [VU1][ITER19] skip=4750 | статус=200 | время=3437ms | тело=1891137 байт  source=console
INFO[0107] [VU2][ITER17] skip=4350 | статус=200 | время=3262ms | тело=1770487 байт  source=console
INFO[0110] [VU5][ITER18] skip=4900 | статус=200 | время=5123ms | тело=1887894 байт  source=console
INFO[0110] [VU4][ITER19] skip=5050 | статус=200 | время=5221ms | тело=1877585 байт  source=console
INFO[0111] [VU3][ITER19] skip=4950 | статус=200 | время=4273ms | тело=1863516 байт  source=console
INFO[0111] [VU1][ITER20] skip=5000 | статус=200 | время=4264ms | тело=1824009 байт  source=console
INFO[0112] [VU2][ITER18] skip=4600 | статус=200 | время=3418ms | тело=1787710 байт  source=console
INFO[0115] [VU5][ITER19] skip=5150 | статус=200 | время=4250ms | тело=1919064 байт  source=console
INFO[0116] [VU3][ITER20] skip=5200 | статус=200 | время=4292ms | тело=1873286 байт  source=console
INFO[0118] [VU2][ITER19] skip=4850 | статус=200 | время=6261ms | тело=1889196 байт  source=console
INFO[0118] [VU4][ITER20] skip=5300 | статус=200 | время=6605ms | тело=1762600 байт  source=console
INFO[0118] [VU1][ITER21] skip=5250 | статус=200 | время=6243ms | тело=1799304 байт  source=console
INFO[0120] [VU5][ITER20] skip=5400 | статус=200 | время=3998ms | тело=1529475 байт  source=console
INFO[0121] [VU3][ITER21] skip=5450 | статус=200 | время=4077ms | тело=1546832 байт  source=console
INFO[0123] [VU4][ITER21] skip=5550 | статус=200 | время=3381ms | тело=1591520 байт  source=console
INFO[0123] [VU1][ITER22] skip=5500 | статус=200 | время=4708ms | тело=1566810 байт  source=console
INFO[0124] [VU2][ITER20] skip=5100 | статус=200 | время=5444ms | тело=1939347 байт  source=console
INFO[0125] [VU5][ITER21] skip=5650 | статус=200 | время=4398ms | тело=1762122 байт  source=console
INFO[0129] [VU1][ITER23] skip=5750 | статус=200 | время=5549ms | тело=1760532 байт  source=console
INFO[0130] [VU4][ITER22] skip=5800 | статус=200 | время=5891ms | тело=1730179 байт  source=console
INFO[0130] [VU3][ITER22] skip=5700 | статус=200 | время=7083ms | тело=1722575 байт  source=console
INFO[0131] [VU5][ITER22] skip=5900 | статус=200 | время=5565ms | тело=1698998 байт  source=console
INFO[0132] [VU2][ITER21] skip=5350 | статус=200 | время=5260ms | тело=1595585 байт  source=console
INFO[0134] [VU1][ITER24] skip=6000 | статус=200 | время=4009ms | тело=1874600 байт  source=console
INFO[0135] [VU3][ITER23] skip=5950 | статус=200 | время=3898ms | тело=1774339 байт  source=console
INFO[0138] [VU5][ITER23] skip=6150 | статус=200 | время=5834ms | тело=1873028 байт  source=console
INFO[0138] [VU4][ITER23] skip=6050 | статус=200 | время=6240ms | тело=1844047 байт  source=console
INFO[0138] [VU3][ITER24] skip=6200 | статус=200 | время=2695ms | тело=1782781 байт  source=console
INFO[0138] [VU2][ITER22] skip=5600 | статус=200 | время=5262ms | тело=1658587 байт  source=console
INFO[0142] [VU1][ITER25] skip=6250 | статус=200 | время=6665ms | тело=1597006 байт  source=console
INFO[0143] [VU4][ITER24] skip=6300 | статус=200 | время=4741ms | тело=1611409 байт  source=console
INFO[0145] [VU2][ITER23] skip=5850 | статус=200 | время=5740ms | тело=1763991 байт  source=console
INFO[0145] [VU1][ITER26] skip=6500 | статус=200 | время=2672ms | тело=1987271 байт  source=console
INFO[0146] [VU3][ITER25] skip=6450 | статус=200 | время=6819ms | тело=1811745 байт  source=console
INFO[0146] [VU5][ITER24] skip=6400 | статус=200 | время=6657ms | тело=1762283 байт  source=console
INFO[0149] [VU1][ITER27] skip=6750 | статус=200 | время=3451ms | тело=2013532 байт  source=console
INFO[0150] [VU4][ITER25] skip=6550 | статус=200 | время=5649ms | тело=2038822 байт  source=console
INFO[0151] [VU5][ITER25] skip=6650 | статус=200 | время=3495ms | тело=1937693 байт  source=console
INFO[0152] [VU2][ITER24] skip=6100 | статус=200 | время=5526ms | тело=1841124 байт  source=console
INFO[0152] [VU3][ITER26] skip=6700 | статус=200 | время=5101ms | тело=1979527 байт  source=console
INFO[0154] [VU1][ITER28] skip=7000 | статус=200 | время=4058ms | тело=1909403 байт  source=console
INFO[0155] [VU5][ITER26] skip=6900 | статус=200 | время=4162ms | тело=2033281 байт  source=console
INFO[0158] [VU1][ITER29] skip=7250 | статус=200 | время=3617ms | тело=1895703 байт  source=console
INFO[0158] [VU4][ITER26] skip=6800 | статус=200 | время=5775ms | тело=1980862 байт  source=console
INFO[0159] [VU2][ITER25] skip=6350 | статус=200 | время=6135ms | тело=1749304 байт  source=console
INFO[0159] [VU3][ITER27] skip=6950 | статус=200 | время=6110ms | тело=2019509 байт  source=console
INFO[0159] [VU5][ITER27] skip=7150 | статус=200 | время=3205ms | тело=1753258 байт  source=console
INFO[0163] [VU1][ITER30] skip=7500 | статус=200 | время=5312ms | тело=1957453 байт  source=console
INFO[0164] [VU2][ITER26] skip=6600 | статус=200 | время=4006ms | тело=1936008 байт  source=console
INFO[0165] [VU4][ITER27] skip=7050 | статус=200 | время=5592ms | тело=1855627 байт  source=console
INFO[0165] [VU3][ITER28] skip=7200 | статус=200 | время=4389ms | тело=1819975 байт  source=console
INFO[0166] [VU5][ITER28] skip=7400 | статус=200 | время=4822ms | тело=2008303 байт  source=console
INFO[0170] [VU2][ITER27] skip=6850 | статус=200 | время=5069ms | тело=2019806 байт  source=console
INFO[0170] [VU4][ITER28] skip=7300 | статус=200 | время=4559ms | тело=1988331 байт  source=console
INFO[0170] [VU1][ITER31] skip=7750 | статус=200 | время=4877ms | тело=2147686 байт  source=console
INFO[0172] [VU5][ITER29] skip=7650 | статус=200 | время=5473ms | тело=2128663 байт  source=console
INFO[0173] [VU3][ITER29] skip=7450 | статус=200 | время=6276ms | тело=1973117 байт  source=console
INFO[0175] [VU4][ITER29] skip=7550 | статус=200 | время=3582ms | тело=2004277 байт  source=console
INFO[0178] [VU1][ITER32] skip=8000 | статус=200 | время=6936ms | тело=1958099 байт  source=console
INFO[0178] [VU3][ITER30] skip=7700 | статус=200 | время=4035ms | тело=2182831 байт  source=console
INFO[0178] [VU2][ITER28] skip=7100 | статус=200 | время=7065ms | тело=1753297 байт  source=console
INFO[0178] [VU5][ITER30] skip=7900 | статус=200 | время=6827ms | тело=1887879 байт  source=console
INFO[0179] [VU4][ITER30] skip=7800 | статус=200 | время=3644ms | тело=2123300 байт  source=console
INFO[0183] [VU2][ITER29] skip=7350 | статус=200 | время=3736ms | тело=2001671 байт  source=console
